name	layer	type
SGK1	transcriptomic	gene
PDE7A	transcriptomic	gene
OXER1	transcriptomic	gene
TUBGCP3	transcriptomic	gene
GADD45A	transcriptomic	gene
IL1RL1	transcriptomic	gene
ZNF331	transcriptomic	gene
GLYCTK	transcriptomic	gene
FERMT2	transcriptomic	gene
NR4A3	transcriptomic	gene
TSC22D3	transcriptomic	gene
GNG11	transcriptomic	gene
PDE4D	transcriptomic	gene
IFIT5	transcriptomic	gene
TRMT11	transcriptomic	gene
SLC25A27	transcriptomic	gene
PNN	transcriptomic	gene
NUDT8	transcriptomic	gene
MRPS34	transcriptomic	gene
RIMKLB	transcriptomic	gene
RFNG	transcriptomic	gene
GJB1	transcriptomic	gene
MERTK	transcriptomic	gene
SLC19A2	transcriptomic	gene
ECSIT	transcriptomic	gene
HAAO	transcriptomic	gene
RHOBTB3	transcriptomic	gene
LUC7L3	transcriptomic	gene
TAS2R46	transcriptomic	gene
CTSS	transcriptomic	gene
HSPH1	transcriptomic	gene
WSB1	transcriptomic	gene
PPFIA2	transcriptomic	gene
CENPC	transcriptomic	gene
RPS15A	transcriptomic	gene
SLC29A3	transcriptomic	gene
TSPYL2	transcriptomic	gene
NR4A2	transcriptomic	gene
RDH12	transcriptomic	gene
COL10A1	transcriptomic	gene
FGD4	transcriptomic	gene
CALM1	transcriptomic	gene
KLHL3	transcriptomic	gene
RBBP8	transcriptomic	gene
SRSF11	transcriptomic	gene
OGT	transcriptomic	gene
BDP1	transcriptomic	gene
CHD1	transcriptomic	gene
GRB14	transcriptomic	gene
AHCY	transcriptomic	gene
HDAC5	transcriptomic	gene
WNK1	transcriptomic	gene
JADE1	transcriptomic	gene
PGAM2	transcriptomic	gene
BCL2L11	transcriptomic	gene
KCTD3	transcriptomic	gene
HPN	transcriptomic	gene
RALGAPA1	transcriptomic	gene
XRN1	transcriptomic	gene
P4HA1	transcriptomic	gene
AIP	transcriptomic	gene
MIR32	transcriptomic	gene
ATP6V0C	transcriptomic	gene
OR51M1	transcriptomic	gene
DBP	transcriptomic	gene
PDE8A	transcriptomic	gene
SLC20A1	transcriptomic	gene
SESN2	transcriptomic	gene
SRSF1	transcriptomic	gene
FAM91A1	transcriptomic	gene
HNRNPDL	transcriptomic	gene
P3H2	transcriptomic	gene
SLK	transcriptomic	gene
MTR	transcriptomic	gene
IMP3	transcriptomic	gene
FILIP1	transcriptomic	gene
RNPC3	transcriptomic	gene
DICER1	transcriptomic	gene
WDR18	transcriptomic	gene
LONRF1	transcriptomic	gene
ATP5F1D	transcriptomic	gene
OR2T29	transcriptomic	gene
SYNE1	transcriptomic	gene
ZNF684	transcriptomic	gene
GHDC	transcriptomic	gene
KLRB1	transcriptomic	gene
AHI1	transcriptomic	gene
LTB	transcriptomic	gene
PFKFB2	transcriptomic	gene
PRODH	transcriptomic	gene
PTGER3	transcriptomic	gene
NFKBIA	transcriptomic	gene
CYBB	transcriptomic	gene
ARHGEF26	transcriptomic	gene
ABHD17A	transcriptomic	gene
FBXO21	transcriptomic	gene
YTHDC2	transcriptomic	gene
CTPS1	transcriptomic	gene
HNRNPU	transcriptomic	gene
RBM39	transcriptomic	gene
ETS2	transcriptomic	gene
BGN	transcriptomic	gene
CLASP1	transcriptomic	gene
AFDN	transcriptomic	gene
ZNF184	transcriptomic	gene
UBR4	transcriptomic	gene
OR56A5	transcriptomic	gene
LUM	transcriptomic	gene
AMELX	transcriptomic	gene
HLA-DQA2	transcriptomic	gene
DHRS4	transcriptomic	gene
PYCARD	transcriptomic	gene
SLAMF7	transcriptomic	gene
FXR1	transcriptomic	gene
NAT8	transcriptomic	gene
SEMA6D	transcriptomic	gene
AXL	transcriptomic	gene
GMFG	transcriptomic	gene
CLDN3	transcriptomic	gene
SLC16A7	transcriptomic	gene
BIRC6	transcriptomic	gene
SHPRH	transcriptomic	gene
IL2RG	transcriptomic	gene
SRSF7	transcriptomic	gene
COL4A3	transcriptomic	gene
LIFR	transcriptomic	gene
RBM25	transcriptomic	gene
LTF	transcriptomic	gene
RNASE6	transcriptomic	gene
LCP1	transcriptomic	gene
ZNF10	transcriptomic	gene
PTPRC	transcriptomic	gene
SF3B1	transcriptomic	gene
DOCK7	transcriptomic	gene
MIR206	transcriptomic	gene
WEE1	transcriptomic	gene
ZNF430	transcriptomic	gene
MNDA	transcriptomic	gene
AASS	transcriptomic	gene
SOX4	transcriptomic	gene
BHLHE40	transcriptomic	gene
NME3	transcriptomic	gene
TRMT13	transcriptomic	gene
SELPLG	transcriptomic	gene
CPNE8	transcriptomic	gene
CAPN6	transcriptomic	gene
DYNC2H1	transcriptomic	gene
AFF4	transcriptomic	gene
BLVRB	transcriptomic	gene
CCNH	transcriptomic	gene
CISH	transcriptomic	gene
HLA-DMB	transcriptomic	gene
NAT8B	transcriptomic	gene
KLKB1	transcriptomic	gene
ADGRF5	transcriptomic	gene
CALCR	transcriptomic	gene
EPB41L5	transcriptomic	gene
KHK	transcriptomic	gene
KDM4C	transcriptomic	gene
PYY	transcriptomic	gene
SLC39A5	transcriptomic	gene
GZMH	transcriptomic	gene
HNRNPA1	transcriptomic	gene
ADAMTS19	transcriptomic	gene
CXCL16	transcriptomic	gene
CFLAR	transcriptomic	gene
RCL1	transcriptomic	gene
MSTN	transcriptomic	gene
GABARAPL1	transcriptomic	gene
SCN2A	transcriptomic	gene
UBD	transcriptomic	gene
