name	layer	type
AXL	transcriptomic	gene
B3GNT5	transcriptomic	gene
B4GALT5	transcriptomic	gene
B4GALT7	transcriptomic	gene
B9D2	transcriptomic	gene
BABAM1	transcriptomic	gene
BACE1AS	transcriptomic	gene
BAD	transcriptomic	gene
BAG3	transcriptomic	gene
BAG6	transcriptomic	gene
BAK1	transcriptomic	gene
BANF1	transcriptomic	gene
BASP1	transcriptomic	gene
BATF2	transcriptomic	gene
BAZ2B	transcriptomic	gene
BAZ2BAS1	transcriptomic	gene
BCAM	transcriptomic	gene
BCAR3AS1	transcriptomic	gene
BCAT2	transcriptomic	gene
BCL2L11	transcriptomic	gene
BCL2L12	transcriptomic	gene
BCL3	transcriptomic	gene
BCL6B	transcriptomic	gene
BCL9L	transcriptomic	gene
BCLAF1	transcriptomic	gene
BDP1	transcriptomic	gene
BEX1	transcriptomic	gene
BGN	transcriptomic	gene
BHLHE40	transcriptomic	gene
BHLHE41	transcriptomic	gene
BIN2	transcriptomic	gene
BIRC3	transcriptomic	gene
BIRC6	transcriptomic	gene
BIRC8	transcriptomic	gene
BLOC1S3	transcriptomic	gene
BLOC1S4	transcriptomic	gene
BLTP1	transcriptomic	gene
BLVRB	transcriptomic	gene
BMF	transcriptomic	gene
BMP2	transcriptomic	gene
BMP4	transcriptomic	gene
BMS1P1	transcriptomic	gene
BOD1L1	transcriptomic	gene
BOK	transcriptomic	gene
BOP1	transcriptomic	gene
BORCS6	transcriptomic	gene
BRAF	transcriptomic	gene
BRD3	transcriptomic	gene
BRD3OS	transcriptomic	gene
BRD4	transcriptomic	gene
BRD7P3	transcriptomic	gene
BRI3	transcriptomic	gene
BRWD1	transcriptomic	gene
BSPRY	transcriptomic	gene
BST2	transcriptomic	gene
BTAF1	transcriptomic	gene
BTBD18	transcriptomic	gene
BTBD2	transcriptomic	gene
BTG2	transcriptomic	gene
C10ORF95	transcriptomic	gene
C10ORF95AS1	transcriptomic	gene
C12ORF57	transcriptomic	gene
C15ORF39	transcriptomic	gene
C15ORF48	transcriptomic	gene
C19ORF25	transcriptomic	gene
C19ORF33	transcriptomic	gene
C19ORF53	transcriptomic	gene
C1ORF210	transcriptomic	gene
C1ORF53	transcriptomic	gene
C1ORF56	transcriptomic	gene
C1QA	transcriptomic	gene
C1QC	transcriptomic	gene
C1QTNF7AS1	transcriptomic	gene
C2	transcriptomic	gene
C20ORF96	transcriptomic	gene
C22ORF39	transcriptomic	gene
C2ORF42	transcriptomic	gene
C2ORF68	transcriptomic	gene
C2ORF74DT	transcriptomic	gene
C3	transcriptomic	gene
C3ORF52	transcriptomic	gene
C5AR2	transcriptomic	gene
C8ORF48	transcriptomic	gene
C8ORF88	transcriptomic	gene
C9ORF72	transcriptomic	gene
CA1	transcriptomic	gene
CA4	transcriptomic	gene
CA5BP1	transcriptomic	gene
CACNA1D	transcriptomic	gene
CACNA1E	transcriptomic	gene
CACNA2D3	transcriptomic	gene
CACNB4	transcriptomic	gene
CADM4	transcriptomic	gene
CALCB	transcriptomic	gene
CALCR	transcriptomic	gene
CALM1	transcriptomic	gene
CALML3	transcriptomic	gene
CAMK1	transcriptomic	gene
CAMTA2	transcriptomic	gene
CANT1	transcriptomic	gene
CAPN12	transcriptomic	gene
CAPN13	transcriptomic	gene
CAPN6	transcriptomic	gene
CAPN7	transcriptomic	gene
CAPRIN2	transcriptomic	gene
CARHSP1	transcriptomic	gene
CARM1	transcriptomic	gene
CARNMT1AS1	transcriptomic	gene
CASC3	transcriptomic	gene
CASP6	transcriptomic	gene
CASTOR2	transcriptomic	gene
CASTOR3P	transcriptomic	gene
CAVIN3	transcriptomic	gene
CBLB	transcriptomic	gene
CBX6	transcriptomic	gene
CCDC102A	transcriptomic	gene
CCDC120	transcriptomic	gene
CCDC124	transcriptomic	gene
CCDC134	transcriptomic	gene
CCDC14	transcriptomic	gene
CCDC144A	transcriptomic	gene
CCDC144BP	transcriptomic	gene
CCDC144CP	transcriptomic	gene
CCDC148	transcriptomic	gene
CCDC167	transcriptomic	gene
