gene_id	gene_symbol	tissue	score	source
ENSG00000160087.20	UBE2J2	Liver	0.0002312207571246278	GTEx
ENSG00000230415.1	LINC01786	Liver	3.826456826882178e-05	GTEx
ENSG00000162572.20	SCNN1D	Liver	9.999149298170992e-05	GTEx
ENSG00000131584.18	ACAP3	Liver	0.0003499787324542748	GTEx
ENSG00000278073.1	MIR6726	Liver	0.0	GTEx
ENSG00000169972.11	PUSL1	Liver	0.00014290089323692047	GTEx
ENSG00000127054.20	INTS11	Liver	0.0003535516801361123	GTEx
ENSG00000283712.1	MIR6727	Liver	0.0	GTEx
ENSG00000240731.1	RP5-890O3.9	Liver	0.00010293492131008083	GTEx
ENSG00000224051.6	CPTP	Liver	0.000682092726499362	GTEx
ENSG00000169962.4	TAS1R3	Liver	9.795831561037856e-06	GTEx
ENSG00000107404.19	DVL1	Liver	0.0005868991918332624	GTEx
ENSG00000284372.1	MIR6808	Liver	0.0	GTEx
ENSG00000162576.16	MXRA8	Liver	0.0001178477243726074	GTEx
ENSG00000175756.13	AURKAIP1	Liver	0.0012648234793704808	GTEx
ENSG00000223663.2	NDUFB4P8	Liver	5.4725648660144616e-06	GTEx
ENSG00000221978.11	CCNL2	Liver	0.0019591663122075715	GTEx
ENSG00000224870.6	RP4-758J18.2	Liver	0.000341046363249681	GTEx
ENSG00000242485.5	MRPL20	Liver	0.0006784347086346235	GTEx
ENSG00000272455.1	RP4-758J18.13	Liver	4.623564440663548e-05	GTEx
ENSG00000235098.8	ANKRD65	Liver	1.036580178647384e-05	GTEx
ENSG00000225905.1	RP4-758J18.7	Liver	2.3555933645257335e-06	GTEx
ENSG00000205116.3	TMEM88B	Liver	1.9225861335601874e-06	GTEx
ENSG00000225285.1	LINC01770	Liver	2.5886856656741813e-05	GTEx
ENSG00000179403.11	VWA1	Liver	0.0005604423649510846	GTEx
ENSG00000215915.9	ATAD3C	Liver	4.753721820501913e-05	GTEx
ENSG00000160072.19	ATAD3B	Liver	0.00023981284559761802	GTEx
ENSG00000197785.13	ATAD3A	Liver	0.0002250957039557635	GTEx
ENSG00000205090.8	TMEM240	Liver	7.615482773287963e-06	GTEx
ENSG00000160075.11	SSU72	Liver	0.0004393024245002127	GTEx
ENSG00000215014.4	RP5-832C2.5	Liver	8.61420672054445e-06	GTEx
ENSG00000274481.1	RP11-345P4.11	Liver	0.0	GTEx
ENSG00000228594.3	FNDC10	Liver	6.4874521480221175e-06	GTEx
ENSG00000272106.1	RP11-345P4.9	Liver	6.792854104636325e-05	GTEx
ENSG00000197530.12	MIB2	Liver	0.0002627817949808592	GTEx
ENSG00000189409.13	MMP23B	Liver	3.954062101233517e-06	GTEx
ENSG00000248333.8	CDK11B	Liver	0.00018213526159081242	GTEx
ENSG00000272004.1	RP11-345P4.10	Liver	0.0	GTEx
ENSG00000189339.11	SLC35E2B	Liver	0.00016396427052318163	GTEx
ENSG00000269737.2	RP11-345P4.6	Liver	1.321820501914079e-05	GTEx
ENSG00000215914.4	MMP23A	Liver	1.3465759251382391e-05	GTEx
ENSG00000008128.22	CDK11A	Liver	0.00017779668226286687	GTEx
ENSG00000227775.3	RP1-283E3.4	Liver	3.3415567843470864e-05	GTEx
ENSG00000215790.6	SLC35E2	Liver	2.0297745640153126e-05	GTEx
ENSG00000008130.15	NADK	Liver	0.0008760527435133986	GTEx
ENSG00000078369.17	GNB1	Liver	0.0008546150574223735	GTEx
ENSG00000231050.1	RP1-140A9.1	Liver	4.673755848575074e-06	GTEx
ENSG00000169885.9	CALML6	Liver	3.121225010633773e-05	GTEx
ENSG00000178821.12	TMEM52	Liver	8.490004253509146e-05	GTEx
ENSG00000142609.17	CFAP74	Liver	7.4410888983411315e-06	GTEx
ENSG00000233542.1	RP11-547D24.1	Liver	0.0	GTEx
ENSG00000187730.8	GABRD	Liver	1.682177796682263e-06	GTEx
ENSG00000226969.1	RP11-547D24.3	Liver	0.0	GTEx
ENSG00000067606.16	PRKCZ	Liver	4.698426201616333e-05	GTEx
ENSG00000271806.1	RP5-892K4.1	Liver	7.48277328796257e-07	GTEx
ENSG00000182873.5	PRKCZ-AS1	Liver	3.5133985538068916e-05	GTEx
ENSG00000162585.16	FAAP20	Liver	9.788175244576776e-05	GTEx
ENSG00000234396.3	RP11-181G12.4	Liver	1.0003402807316035e-05	GTEx
ENSG00000157933.9	SKI	Liver	0.0002668651637601021	GTEx
ENSG00000116151.13	MORN1	Liver	1.2273075287111866e-05	GTEx
ENSG00000272161.1	RP4-713A8.1	Liver	2.8090174393874947e-06	GTEx
ENSG00000269896.2	RP4-740C4.5	Liver	1.3662271373883454e-05	GTEx
ENSG00000272420.1	RP4-740C4.7	Liver	1.847724372607401e-05	GTEx
ENSG00000157916.19	RER1	Liver	0.0009198638877073585	GTEx
ENSG00000157911.9	PEX10	Liver	0.0001061420672054445	GTEx
ENSG00000149527.17	PLCH2	Liver	7.735431731178222e-05	GTEx
ENSG00000224387.1	RP3-395M20.2	Liver	3.6852403232666952e-06	GTEx
ENSG00000229393.1	RP3-395M20.3	Liver	3.709910676307954e-06	GTEx
ENSG00000157881.13	PANK4	Liver	0.00011942152275627393	GTEx
ENSG00000197921.5	HES5	Liver	2.440663547426627e-06	GTEx
ENSG00000272449.1	RP3-395M20.12	Liver	3.7524457677584005e-05	GTEx
ENSG00000238164.6	RP3-395M20.8	Liver	3.76860910250957e-05	GTEx
ENSG00000157873.17	TNFRSF14	Liver	0.000821522756273926	GTEx
ENSG00000225931.3	RP3-395M20.7	Liver	1.6231390897490429e-06	GTEx
ENSG00000228037.1	RP3-395M20.9	Liver	5.237771161207996e-06	GTEx
ENSG00000157870.14	FAM213B	Liver	8.593789876648235e-05	GTEx
ENSG00000142606.15	MMEL1	Liver	9.190982560612505e-07	GTEx
ENSG00000237058.1	RP13-436F16.1	Liver	0.0	GTEx
ENSG00000215912.12	TTC34	Liver	1.9030199914929819e-06	GTEx
ENSG00000283259.1	ABC14-1188822O7.1	Liver	0.0	GTEx
ENSG00000233234.1	RP11-740P5.2	Liver	0.0	GTEx
ENSG00000231630.1	RP11-740P5.3	Liver	0.0	GTEx
ENSG00000169717.6	ACTRT2	Liver	0.0	GTEx
ENSG00000177133.10	LINC00982	Liver	3.536367503190132e-06	GTEx
ENSG00000142611.16	PRDM16	Liver	2.4585282858358147e-06	GTEx
ENSG00000283572.1	MIR4251	Liver	0.0	GTEx
ENSG00000226286.1	RP1-163G9.2	Liver	0.0	GTEx
ENSG00000279839.1	RP11-193J6.1	Liver	0.0	GTEx
ENSG00000272235.1	RP11-22L13.1	Liver	0.0	GTEx
ENSG00000130762.14	ARHGEF16	Liver	7.080391322841344e-05	GTEx
ENSG00000272088.1	RP11-168F9.2	Liver	3.401105912377712e-06	GTEx
ENSG00000162591.15	MEGF6	Liver	5.063377286261165e-05	GTEx
ENSG00000207776.1	MIR551A	Liver	0.0	GTEx
ENSG00000238260.1	RP11-46F15.2	Liver	1.1270097830710335e-05	GTEx
ENSG00000158109.14	TPRG1L	Liver	0.0010586133560187155	GTEx
ENSG00000116213.15	WRAP73	Liver	0.00014564866014461932	GTEx
ENSG00000078900.14	TP73	Liver	1.5430029774564015e-06	GTEx
ENSG00000227589.1	RP5-1092A11.5	Liver	0.0	GTEx
ENSG00000235131.1	RP5-1092A11.2	Liver	0.0	GTEx
ENSG00000227372.11	TP73-AS1	Liver	0.00010211824755423225	GTEx
ENSG00000162592.9	CCDC27	Liver	0.0	GTEx
ENSG00000235169.7	SMIM1	Liver	6.755423224159932e-05	GTEx
ENSG00000130764.9	LRRC47	Liver	0.0003150999574649085	GTEx
ENSG00000266075.2	RN7SL574P	Liver	9.069332199064229e-06	GTEx
ENSG00000272153.1	RP1-286D6.5	Liver	5.9685240323266694e-05	GTEx
ENSG00000116198.12	CEP104	Liver	9.351765206295194e-05	GTEx
ENSG00000169598.15	DFFB	Liver	5.760102084219481e-05	GTEx
ENSG00000198912.10	C1orf174	Liver	0.00020008507018290093	GTEx
ENSG00000236423.5	LINC01134	Liver	7.032752020416844e-06	GTEx
ENSG00000233304.6	LINC01346	Liver	0.0	GTEx
ENSG00000226374.2	LINC01345	Liver	0.0	GTEx
ENSG00000229280.1	EEF1DP6	Liver	0.0	GTEx
ENSG00000235054.3	LINC01777	Liver	0.0	GTEx
ENSG00000227169.2	RP1-37J18.1	Liver	0.0	GTEx
ENSG00000232596.2	LINC01646	Liver	0.0	GTEx
ENSG00000196581.10	AJAP1	Liver	1.286005954912803e-06	GTEx
ENSG00000231510.1	RP11-542C10.1	Liver	0.0	GTEx
ENSG00000260972.1	RP1-58B11.1	Liver	0.0	GTEx
ENSG00000283356.1	RP3-491M17.1	Liver	0.0	GTEx
ENSG00000236948.2	RP11-154H17.1	Liver	0.0	GTEx
ENSG00000264341.1	MIR4417	Liver	0.0	GTEx
ENSG00000264101.1	MIR4689	Liver	0.0	GTEx
ENSG00000131697.17	NPHP4	Liver	2.6159081242024672e-05	GTEx
ENSG00000069424.14	KCNAB2	Liver	4.3598468736707785e-05	GTEx
ENSG00000116254.17	CHD5	Liver	7.572947681837516e-07	GTEx
ENSG00000116251.9	RPL22	Liver	0.0008984262016163335	GTEx
ENSG00000226944.1	RP1-120G22.11	Liver	1.654955338153977e-05	GTEx
ENSG00000158286.12	RNF207	Liver	0.00014735006380263717	GTEx
ENSG00000116237.15	ICMT	Liver	0.00017439387494683114	GTEx
ENSG00000225077.2	LINC00337	Liver	6.700127605274352e-06	GTEx
ENSG00000173673.7	HES3	Liver	0.0	GTEx
ENSG00000158292.6	GPR153	Liver	4.011909825606125e-05	GTEx
ENSG00000097021.19	ACOT7	Liver	0.0001285240323266695	GTEx
ENSG00000069812.11	HES2	Liver	3.3789876648234794e-07	GTEx
ENSG00000187017.15	ESPN	Liver	0.000324287537218205	GTEx
ENSG00000265392.1	MIR4252	Liver	0.0	GTEx
ENSG00000231868.1	RP1-202O8.2	Liver	0.0	GTEx
ENSG00000215788.9	TNFRSF25	Liver	5.0923011484474694e-05	GTEx
ENSG00000171680.21	PLEKHG5	Liver	2.051042109740536e-05	GTEx
ENSG00000162408.10	NOL9	Liver	6.838792003402808e-05	GTEx
ENSG00000253022.1	RNU6-731P	Liver	0.0	GTEx
ENSG00000229519.2	RP11-58A11.2	Liver	1.6809017439387494e-06	GTEx
ENSG00000173662.20	TAS1R1	Liver	7.852828583581455e-07	GTEx
ENSG00000204859.12	ZBTB48	Liver	0.0003841769459804338	GTEx
ENSG00000162413.16	KLHL21	Liver	0.00016282433007230965	GTEx
ENSG00000116273.5	PHF13	Liver	0.00010189706507868993	GTEx
ENSG00000041988.15	THAP3	Liver	0.00010683113568694172	GTEx
