id	kind	layer	name
RXRG	Gene	transcriptomic	RXRG
RAreceptor_RXRA	Protein	protein	RAreceptor_RXRA
RAreceptor_RXRB	Protein	protein	RAreceptor_RXRB
RAreceptor_RXRG	Protein	protein	RAreceptor_RXRG
RORA	Gene	transcriptomic	RORA
RORB	Gene	transcriptomic	RORB
RORC	Gene	transcriptomic	RORC
TGFbeta_receptor1	Protein	protein	TGFbeta_receptor1
TGFbeta_receptor2	Protein	protein	TGFbeta_receptor2
THRA	Gene	transcriptomic	THRA
THRB	Gene	transcriptomic	THRB
TLR7	Gene	transcriptomic	TLR7
IRF5	Gene	transcriptomic	IRF5
TLR8	Gene	transcriptomic	TLR8
TNFRSF1A	Gene	transcriptomic	TNFRSF1A
TNFRSF1B	Gene	transcriptomic	TNFRSF1B
Type_I_IFNR	Protein	protein	Type_I_IFNR
Type_II_IFNR	Protein	protein	Type_II_IFNR
Type_III_IFNR	Protein	protein	Type_III_IFNR
VDR	Gene	transcriptomic	VDR
omnipath_interactions	Gene	transcriptomic	omnipath_interactions
P48995	Gene	transcriptomic	P48995
Q13507	Gene	transcriptomic	Q13507
Q9UBN4	Gene	transcriptomic	Q9UBN4
Q9UL62	Gene	transcriptomic	Q9UL62
Q9Y210	Gene	transcriptomic	Q9Y210
Q13563	Gene	transcriptomic	Q13563
Q9HBA0	Gene	transcriptomic	Q9HBA0
Q9H1D0	Gene	transcriptomic	Q9H1D0
Q9HCX4	Gene	transcriptomic	Q9HCX4
Q8NER1	Gene	transcriptomic	Q8NER1
Q8NET8	Gene	transcriptomic	Q8NET8
Q9NQA5	Gene	transcriptomic	Q9NQA5
Q8TDD5	Gene	transcriptomic	Q8TDD5
Q7Z4N2	Gene	transcriptomic	Q7Z4N2
O94759	Gene	transcriptomic	O94759
Q8TD43	Gene	transcriptomic	Q8TD43
Q9BX84	Gene	transcriptomic	Q9BX84
Q96QT4	Gene	transcriptomic	Q96QT4
P35579	Gene	transcriptomic	P35579
Q7Z2W7	Gene	transcriptomic	Q7Z2W7
Q9GZU1	Gene	transcriptomic	Q9GZU1
Q8IZK6	Gene	transcriptomic	Q8IZK6
Q9NZM6	Gene	transcriptomic	Q9NZM6
O75822	Gene	transcriptomic	O75822
P16144	Gene	transcriptomic	P16144
P19793	Gene	transcriptomic	P19793
P28749	Gene	transcriptomic	P28749
Q16539	Gene	transcriptomic	Q16539
P49137	Gene	transcriptomic	P49137
Q13151	Gene	transcriptomic	Q13151
P24522	Gene	transcriptomic	P24522
O95453	Gene	transcriptomic	O95453
P19235	Gene	transcriptomic	P19235
O60674	Gene	transcriptomic	O60674
Q9UKN7	Gene	transcriptomic	Q9UKN7
P29033	Gene	transcriptomic	P29033
O95452	Gene	transcriptomic	O95452
Q01085	Gene	transcriptomic	Q01085
P46531	Gene	transcriptomic	P46531
Q92858	Gene	transcriptomic	Q92858
P26651	Gene	transcriptomic	P26651
Q5TA89	Gene	transcriptomic	Q5TA89
P01375	Gene	transcriptomic	P01375
P60568	Gene	transcriptomic	P60568
Q9Y219	Gene	transcriptomic	Q9Y219
O00548	Gene	transcriptomic	O00548
Q8NES3	Gene	transcriptomic	Q8NES3
P22301	Gene	transcriptomic	P22301
P05231	Gene	transcriptomic	P05231
P32243	Gene	transcriptomic	P32243
A6NHT5	Gene	transcriptomic	A6NHT5
P56178	Gene	transcriptomic	P56178
P32242	Gene	transcriptomic	P32242
Q53ET0	Gene	transcriptomic	Q53ET0
P14174	Gene	transcriptomic	P14174
Q9UI36	Gene	transcriptomic	Q9UI36
Q96NX9	Gene	transcriptomic	Q96NX9
Q96QU1	Gene	transcriptomic	Q96QU1
Q13402	Gene	transcriptomic	Q13402
P35354	Gene	transcriptomic	P35354
Q16881	Gene	transcriptomic	Q16881
P10599	Gene	transcriptomic	P10599
Q9GZX7	Gene	transcriptomic	Q9GZX7
Q06546	Gene	transcriptomic	Q06546
P28482	Gene	transcriptomic	P28482
P27361	Gene	transcriptomic	P27361
O43521	Gene	transcriptomic	O43521
Q99684	Gene	transcriptomic	Q99684
P49918	Gene	transcriptomic	P49918
O15520	Gene	transcriptomic	O15520
Q9Y297	Gene	transcriptomic	Q9Y297
P23760	Gene	transcriptomic	P23760
P15121	Gene	transcriptomic	P15121
Q06710	Gene	transcriptomic	Q06710
Q12951	Gene	transcriptomic	Q12951
Q9BYV9	Gene	transcriptomic	Q9BYV9
P48065	Gene	transcriptomic	P48065
O15111	Gene	transcriptomic	O15111
P53794	Gene	transcriptomic	P53794
P19838	Gene	transcriptomic	P19838
P31749	Gene	transcriptomic	P31749
Q9UKF6	Gene	transcriptomic	Q9UKF6
Q00534	Gene	transcriptomic	Q00534
Q05048	Gene	transcriptomic	Q05048
P31350	Gene	transcriptomic	P31350
P33992	Gene	transcriptomic	P33992
Q14566	Gene	transcriptomic	Q14566
Q9UKV3	Gene	transcriptomic	Q9UKV3
P06493	Gene	transcriptomic	P06493
O43663	Gene	transcriptomic	O43663
P18847	Gene	transcriptomic	P18847
P04637	Gene	transcriptomic	P04637
Q15554	Gene	transcriptomic	Q15554
