id	kind	layer	name
GFAP	Gene	transcriptomic	GFAP
HBB	Gene	transcriptomic	HBB
LAMP2	Gene	transcriptomic	LAMP2
MAP1LC3A	Gene	transcriptomic	MAP1LC3A
MAP1LC3B	Gene	transcriptomic	MAP1LC3B
MAP1LC3C	Gene	transcriptomic	MAP1LC3C
MFN1	Gene	transcriptomic	MFN1
MFN2	Gene	transcriptomic	MFN2
MTERF3	Gene	transcriptomic	MTERF3
MTMR14	Gene	transcriptomic	MTMR14
MTMR3	Gene	transcriptomic	MTMR3
NBR1	Gene	transcriptomic	NBR1
PEX5	Gene	transcriptomic	PEX5
PINK1	Gene	transcriptomic	PINK1
PLIN2	Gene	transcriptomic	PLIN2
PLIN3	Gene	transcriptomic	PLIN3
RB1CC1	Gene	transcriptomic	RB1CC1
RNASE1	Gene	transcriptomic	RNASE1
SQSTM1	Gene	transcriptomic	SQSTM1
TOMM20	Gene	transcriptomic	TOMM20
TOMM22	Gene	transcriptomic	TOMM22
TOMM40	Gene	transcriptomic	TOMM40
TOMM5	Gene	transcriptomic	TOMM5
TOMM6	Gene	transcriptomic	TOMM6
TOMM7	Gene	transcriptomic	TOMM7
TOMM70	Gene	transcriptomic	TOMM70
TSC1	Gene	transcriptomic	TSC1
ULK1	Gene	transcriptomic	ULK1
USP30	Gene	transcriptomic	USP30
UVRAG	Gene	transcriptomic	UVRAG
VDAC2	Gene	transcriptomic	VDAC2
VDAC3	Gene	transcriptomic	VDAC3
WDR45	Gene	transcriptomic	WDR45
WDR45B	Gene	transcriptomic	WDR45B
WIPI1	Gene	transcriptomic	WIPI1
WIPI2	Gene	transcriptomic	WIPI2
REACTOME:R-HSA-422475	Pathway	pathway	Axon guidance
28S RRNA	Gene	transcriptomic	28S RRNA
5.8S RRNA	Gene	transcriptomic	5.8S RRNA
5S RRNA	Gene	transcriptomic	5S RRNA
ABL1	Gene	transcriptomic	ABL1
ABL2	Gene	transcriptomic	ABL2
ABLIM1	Gene	transcriptomic	ABLIM1
ABLIM2	Gene	transcriptomic	ABLIM2
ABLIM3	Gene	transcriptomic	ABLIM3
ACTR2	Gene	transcriptomic	ACTR2
ACTR3	Gene	transcriptomic	ACTR3
AGAP2	Gene	transcriptomic	AGAP2
AKAP5	Gene	transcriptomic	AKAP5
ARHGAP35	Gene	transcriptomic	ARHGAP35
ARHGAP39	Gene	transcriptomic	ARHGAP39
ARHGEF11	Gene	transcriptomic	ARHGEF11
ARHGEF12	Gene	transcriptomic	ARHGEF12
ARHGEF28	Gene	transcriptomic	ARHGEF28
ARPC1A	Gene	transcriptomic	ARPC1A
ARPC1B	Gene	transcriptomic	ARPC1B
ARPC2	Gene	transcriptomic	ARPC2
ARPC3	Gene	transcriptomic	ARPC3
ARPC4	Gene	transcriptomic	ARPC4
ARPC5	Gene	transcriptomic	ARPC5
CACNA1G	Gene	transcriptomic	CACNA1G
CACNA1H	Gene	transcriptomic	CACNA1H
CACNA1I	Gene	transcriptomic	CACNA1I
CACNA1S	Gene	transcriptomic	CACNA1S
CACNB1	Gene	transcriptomic	CACNB1
CACNB4	Gene	transcriptomic	CACNB4
CAP1	Gene	transcriptomic	CAP1
CAP2	Gene	transcriptomic	CAP2
CASC3	Gene	transcriptomic	CASC3
CFL1	Gene	transcriptomic	CFL1
CLTB	Gene	transcriptomic	CLTB
CLTCL1	Gene	transcriptomic	CLTCL1
CNTN2	Gene	transcriptomic	CNTN2
CNTN6	Gene	transcriptomic	CNTN6
CNTNAP1	Gene	transcriptomic	CNTNAP1
CRMP1	Gene	transcriptomic	CRMP1
DAB1	Gene	transcriptomic	DAB1
DCX	Gene	transcriptomic	DCX
DOCK1	Gene	transcriptomic	DOCK1
DOK1	Gene	transcriptomic	DOK1
DOK2	Gene	transcriptomic	DOK2
DOK4	Gene	transcriptomic	DOK4
DOK5	Gene	transcriptomic	DOK5
DOK6	Gene	transcriptomic	DOK6
DPYSL2	Gene	transcriptomic	DPYSL2
DPYSL3	Gene	transcriptomic	DPYSL3
DPYSL4	Gene	transcriptomic	DPYSL4
DPYSL5	Gene	transcriptomic	DPYSL5
DSCAML1	Gene	transcriptomic	DSCAML1
EPHA10	Gene	transcriptomic	EPHA10
EPHA6	Gene	transcriptomic	EPHA6
ETF1	Gene	transcriptomic	ETF1
FARP2	Gene	transcriptomic	FARP2
FES	Gene	transcriptomic	FES
GAB2	Gene	transcriptomic	GAB2
GAP43	Gene	transcriptomic	GAP43
GRB10	Gene	transcriptomic	GRB10
GRB7	Gene	transcriptomic	GRB7
GSPT1	Gene	transcriptomic	GSPT1
GSPT2	Gene	transcriptomic	GSPT2
HFE2	Gene	transcriptomic	HFE2
IRS2	Gene	transcriptomic	IRS2
ISL1	Gene	transcriptomic	ISL1
ITSN1	Gene	transcriptomic	ITSN1
KALRN	Gene	transcriptomic	KALRN
KCNQ2	Gene	transcriptomic	KCNQ2
KCNQ3	Gene	transcriptomic	KCNQ3
LDB1	Gene	transcriptomic	LDB1
LHX2	Gene	transcriptomic	LHX2
LHX3	Gene	transcriptomic	LHX3
LHX4	Gene	transcriptomic	LHX4
LHX9	Gene	transcriptomic	LHX9
LIMK1	Gene	transcriptomic	LIMK1
LIMK2	Gene	transcriptomic	LIMK2
LYPLA2	Gene	transcriptomic	LYPLA2
MAGOH	Gene	transcriptomic	MAGOH
MAGOHB	Gene	transcriptomic	MAGOHB
MAP2K1	Gene	transcriptomic	MAP2K1
MAP2K2	Gene	transcriptomic	MAP2K2
MAPK7	Gene	transcriptomic	MAPK7
MSI1	Gene	transcriptomic	MSI1
MSN	Gene	transcriptomic	MSN
MYH10	Gene	transcriptomic	MYH10
MYH11	Gene	transcriptomic	MYH11
MYH14	Gene	transcriptomic	MYH14
MYL12A	Gene	transcriptomic	MYL12A
MYL12B	Gene	transcriptomic	MYL12B
MYL6	Gene	transcriptomic	MYL6
MYL9	Gene	transcriptomic	MYL9
MYO10	Gene	transcriptomic	MYO10
MYO9B	Gene	transcriptomic	MYO9B
NCAN	Gene	transcriptomic	NCAN
NEO1	Gene	transcriptomic	NEO1
NFASC	Gene	transcriptomic	NFASC
NGEF	Gene	transcriptomic	NGEF
PDLIM7	Gene	transcriptomic	PDLIM7
PFN1	Gene	transcriptomic	PFN1
PFN2	Gene	transcriptomic	PFN2
PITPNA	Gene	transcriptomic	PITPNA
PTPRA	Gene	transcriptomic	PTPRA
RASA1	Gene	transcriptomic	RASA1
RBM8A	Gene	transcriptomic	RBM8A
RDX	Gene	transcriptomic	RDX
RGMA	Gene	transcriptomic	RGMA
RGMB	Gene	transcriptomic	RGMB
RHOA	Gene	transcriptomic	RHOA
RHOB	Gene	transcriptomic	RHOB
RHOC	Gene	transcriptomic	RHOC
RND1	Gene	transcriptomic	RND1
RNPS1	Gene	transcriptomic	RNPS1
ROBO3.1	Gene	transcriptomic	ROBO3.1
ROCK2	Gene	transcriptomic	ROCK2
RPL10	Gene	transcriptomic	RPL10
RPL10A	Gene	transcriptomic	RPL10A
RPL10L	Gene	transcriptomic	RPL10L
RPL11	Gene	transcriptomic	RPL11
RPL12	Gene	transcriptomic	RPL12
RPL13	Gene	transcriptomic	RPL13
RPL13A	Gene	transcriptomic	RPL13A
RPL14	Gene	transcriptomic	RPL14
RPL15	Gene	transcriptomic	RPL15
RPL17	Gene	transcriptomic	RPL17
RPL18	Gene	transcriptomic	RPL18
RPL18A	Gene	transcriptomic	RPL18A
RPL19	Gene	transcriptomic	RPL19
RPL21	Gene	transcriptomic	RPL21
RPL22	Gene	transcriptomic	RPL22
RPL22L1	Gene	transcriptomic	RPL22L1
RPL23	Gene	transcriptomic	RPL23
RPL23A	Gene	transcriptomic	RPL23A
RPL24	Gene	transcriptomic	RPL24
RPL26	Gene	transcriptomic	RPL26
RPL26L1	Gene	transcriptomic	RPL26L1
RPL27	Gene	transcriptomic	RPL27
RPL27A	Gene	transcriptomic	RPL27A
RPL28	Gene	transcriptomic	RPL28
RPL29	Gene	transcriptomic	RPL29
RPL3	Gene	transcriptomic	RPL3
RPL30	Gene	transcriptomic	RPL30
RPL31	Gene	transcriptomic	RPL31
RPL32	Gene	transcriptomic	RPL32
RPL34	Gene	transcriptomic	RPL34
RPL35	Gene	transcriptomic	RPL35
RPL35A	Gene	transcriptomic	RPL35A
RPL36	Gene	transcriptomic	RPL36
RPL36A	Gene	transcriptomic	RPL36A
RPL36AL	Gene	transcriptomic	RPL36AL
RPL37	Gene	transcriptomic	RPL37
RPL37A	Gene	transcriptomic	RPL37A
RPL38	Gene	transcriptomic	RPL38
RPL39	Gene	transcriptomic	RPL39
RPL39L	Gene	transcriptomic	RPL39L
RPL3L	Gene	transcriptomic	RPL3L
RPL4	Gene	transcriptomic	RPL4
RPL41	Gene	transcriptomic	RPL41
RPL5	Gene	transcriptomic	RPL5
RPL6	Gene	transcriptomic	RPL6
RPL7	Gene	transcriptomic	RPL7
RPL7A	Gene	transcriptomic	RPL7A
RPL8	Gene	transcriptomic	RPL8
RPL9	Gene	transcriptomic	RPL9
RPLP0	Gene	transcriptomic	RPLP0
RPLP1	Gene	transcriptomic	RPLP1
RPLP2	Gene	transcriptomic	RPLP2
RPS6KA4	Gene	transcriptomic	RPS6KA4
RPS6KA5	Gene	transcriptomic	RPS6KA5
RRAS	Gene	transcriptomic	RRAS
SCN10A	Gene	transcriptomic	SCN10A
SCN11A	Gene	transcriptomic	SCN11A
SCN1A	Gene	transcriptomic	SCN1A
SCN1B	Gene	transcriptomic	SCN1B
SCN2A	Gene	transcriptomic	SCN2A
SCN2B	Gene	transcriptomic	SCN2B
SCN3A	Gene	transcriptomic	SCN3A
SCN3B	Gene	transcriptomic	SCN3B
SCN4A	Gene	transcriptomic	SCN4A
SCN4B	Gene	transcriptomic	SCN4B
SCN5A	Gene	transcriptomic	SCN5A
SCN7A	Gene	transcriptomic	SCN7A
SCN8A	Gene	transcriptomic	SCN8A
SCN9A	Gene	transcriptomic	SCN9A
SDCBP	Gene	transcriptomic	SDCBP
SHANK3	Gene	transcriptomic	SHANK3
SHC3	Gene	transcriptomic	SHC3
SHTN1	Gene	transcriptomic	SHTN1
SLIT3	Gene	transcriptomic	SLIT3
SRGAP1	Gene	transcriptomic	SRGAP1
SRGAP2	Gene	transcriptomic	SRGAP2
SRGAP3	Gene	transcriptomic	SRGAP3
TLN1	Gene	transcriptomic	TLN1
TRIO	Gene	transcriptomic	TRIO
TRPC3	Gene	transcriptomic	TRPC3
TRPC4	Gene	transcriptomic	TRPC4
TRPC5	Gene	transcriptomic	TRPC5
TRPC6	Gene	transcriptomic	TRPC6
TRPC7	Gene	transcriptomic	TRPC7
UPF2	Gene	transcriptomic	UPF2
UPF3A	Gene	transcriptomic	UPF3A
UPF3B	Gene	transcriptomic	UPF3B
USP33	Gene	transcriptomic	USP33
VAV2	Gene	transcriptomic	VAV2
VAV3	Gene	transcriptomic	VAV3
WASL	Gene	transcriptomic	WASL
ZSWIM8	Gene	transcriptomic	ZSWIM8
REACTOME:R-HSA-193634	Pathway	pathway	Axonal growth inhibition (RHOA activation)
ARHGDIA	Gene	transcriptomic	ARHGDIA
LINGO1	Gene	transcriptomic	LINGO1
MAG	Gene	transcriptomic	MAG
MCF2	Gene	transcriptomic	MCF2
OMG	Gene	transcriptomic	OMG
RTN4	Gene	transcriptomic	RTN4
REACTOME:R-HSA-209563	Pathway	pathway	Axonal growth stimulation
REACTOME:R-HSA-9748787	Pathway	pathway	Azathioprine ADME
GMPS	Gene	transcriptomic	GMPS
GSTA1	Gene	transcriptomic	GSTA1
GSTA2	Gene	transcriptomic	GSTA2
GSTM1	Gene	transcriptomic	GSTM1
GUK1	Gene	transcriptomic	GUK1
HPRT1	Gene	transcriptomic	HPRT1
IMPDH1	Gene	transcriptomic	IMPDH1
IMPDH2	Gene	transcriptomic	IMPDH2
NME1	Gene	transcriptomic	NME1
NME2	Gene	transcriptomic	NME2
NUDT15	Gene	transcriptomic	NUDT15
SLC28A2	Gene	transcriptomic	SLC28A2
SLC28A3	Gene	transcriptomic	SLC28A3
TPMT	Gene	transcriptomic	TPMT
REACTOME:R-HSA-5250924	Pathway	pathway	B-WICH complex positively regulates rRNA expression
BAZ1B	Gene	transcriptomic	BAZ1B
DDX21	Gene	transcriptomic	DDX21
DEK	Gene	transcriptomic	DEK
ERCC6	Gene	transcriptomic	ERCC6
KAT2A	Gene	transcriptomic	KAT2A
KAT2B	Gene	transcriptomic	KAT2B
MYBBP1A	Gene	transcriptomic	MYBBP1A
MYO1C	Gene	transcriptomic	MYO1C
POLR1A	Gene	transcriptomic	POLR1A
POLR1B	Gene	transcriptomic	POLR1B
POLR1C	Gene	transcriptomic	POLR1C
POLR1D	Gene	transcriptomic	POLR1D
POLR1E	Gene	transcriptomic	POLR1E
POLR1F	Gene	transcriptomic	POLR1F
POLR1G	Gene	transcriptomic	POLR1G
POLR1H	Gene	transcriptomic	POLR1H
SF3B1	Gene	transcriptomic	SF3B1
SMARCA5	Gene	transcriptomic	SMARCA5
TAF1A	Gene	transcriptomic	TAF1A
TAF1B	Gene	transcriptomic	TAF1B
TAF1C	Gene	transcriptomic	TAF1C
TAF1D	Gene	transcriptomic	TAF1D
TBP	Gene	transcriptomic	TBP
REACTOME:R-HSA-5620922	Pathway	pathway	BBSome-mediated cargo-targeting to cilium
ARL6	Gene	transcriptomic	ARL6
BBIP1	Gene	transcriptomic	BBIP1
BBS1	Gene	transcriptomic	BBS1
BBS10	Gene	transcriptomic	BBS10
BBS12	Gene	transcriptomic	BBS12
BBS2	Gene	transcriptomic	BBS2
BBS4	Gene	transcriptomic	BBS4
BBS5	Gene	transcriptomic	BBS5
BBS7	Gene	transcriptomic	BBS7
BBS9	Gene	transcriptomic	BBS9
LZTFL1	Gene	transcriptomic	LZTFL1
MKKS	Gene	transcriptomic	MKKS
TTC8	Gene	transcriptomic	TTC8
REACTOME:R-HSA-9859138	Pathway	pathway	BCKDH synthesizes BCAA-CoA from KIC, KMVA, KIV
BCKDHA	Gene	transcriptomic	BCKDHA
BCKDHB	Gene	transcriptomic	BCKDHB
DBT	Gene	transcriptomic	DBT
REACTOME:R-HSA-9024909	Pathway	pathway	BDNF activates NTRK2 (TRKB) signaling
REACTOME:R-HSA-111453	Pathway	pathway	BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members
REACTOME:R-HSA-1368108	Pathway	pathway	BMAL1:CLOCK,NPAS2 activates circadian expression
ARNTL	Gene	transcriptomic	ARNTL
ARNTL2	Gene	transcriptomic	ARNTL2
BHLHE40	Gene	transcriptomic	BHLHE40
BHLHE41	Gene	transcriptomic	BHLHE41
CCRN4L	Gene	transcriptomic	CCRN4L
CLOCK	Gene	transcriptomic	CLOCK
F7	Gene	transcriptomic	F7
KLF15	Gene	transcriptomic	KLF15
NAMPT	Gene	transcriptomic	NAMPT
NOCT	Gene	transcriptomic	NOCT
NPAS2	Gene	transcriptomic	NPAS2
SERPINE1	Gene	transcriptomic	SERPINE1
REACTOME:R-HSA-9824439	Pathway	pathway	Bacterial Infection Pathways
ANTXR1	Gene	transcriptomic	ANTXR1
ANTXR2	Gene	transcriptomic	ANTXR2
CBL	Gene	transcriptomic	CBL
CORO1A	Gene	transcriptomic	CORO1A
DUSP16	Gene	transcriptomic	DUSP16
EEF2	Gene	transcriptomic	EEF2
ENO1	Gene	transcriptomic	ENO1
GUCY2C	Gene	transcriptomic	GUCY2C
HA-33	Gene	transcriptomic	HA-33
HBA1	Gene	transcriptomic	HBA1
HGS	Gene	transcriptomic	HGS
MAP2K3	Gene	transcriptomic	MAP2K3
MAP2K4	Gene	transcriptomic	MAP2K4
MAP2K7	Gene	transcriptomic	MAP2K7
MT2748	Gene	transcriptomic	MT2748
NOS2	Gene	transcriptomic	NOS2
PDCD6IP	Gene	transcriptomic	PDCD6IP
PDZD3	Gene	transcriptomic	PDZD3
PGK1	Gene	transcriptomic	PGK1
PPE2	Gene	transcriptomic	PPE2
RAB5A	Gene	transcriptomic	RAB5A
RV1410C	Gene	transcriptomic	RV1410C
RV2238C	Gene	transcriptomic	RV2238C
RV2895C	Gene	transcriptomic	RV2895C
RV3364C	Gene	transcriptomic	RV3364C
RV3654C	Gene	transcriptomic	RV3654C
RV3655C	Gene	transcriptomic	RV3655C
SFPQ	Gene	transcriptomic	SFPQ
SH3GL1	Gene	transcriptomic	SH3GL1
SH3GL3	Gene	transcriptomic	SH3GL3
STAM	Gene	transcriptomic	STAM
STAM2	Gene	transcriptomic	STAM2
STX1B	Gene	transcriptomic	STX1B
SV2A	Gene	transcriptomic	SV2A
SV2B	Gene	transcriptomic	SV2B
SV2C	Gene	transcriptomic	SV2C
SYT2	Gene	transcriptomic	SYT2
TRIM27	Gene	transcriptomic	TRIM27
TXNRD1	Gene	transcriptomic	TXNRD1
UTI89_C2180	Gene	transcriptomic	UTI89_C2180
VAMP1	Gene	transcriptomic	VAMP1
VPS33B	Gene	transcriptomic	VPS33B
ACRD	Gene	transcriptomic	ACRD
ADHE2	Gene	transcriptomic	ADHE2
AHPC	Gene	transcriptomic	AHPC
AHPD	Gene	transcriptomic	AHPD
ALDR	Gene	transcriptomic	ALDR
BAMA	Gene	transcriptomic	BAMA
BAMB	Gene	transcriptomic	BAMB
BAMC	Gene	transcriptomic	BAMC
BAMD	Gene	transcriptomic	BAMD
BAME	Gene	transcriptomic	BAME
BCSA	Gene	transcriptomic	BCSA
BCSB	Gene	transcriptomic	BCSB
BCSC	Gene	transcriptomic	BCSC
BCSE	Gene	transcriptomic	BCSE
BCSG	Gene	transcriptomic	BCSG
BCSQ	Gene	transcriptomic	BCSQ
BFR	Gene	transcriptomic	BFR
BFRB	Gene	transcriptomic	BFRB
BOTA	Gene	transcriptomic	BOTA
BOTB	Gene	transcriptomic	BOTB
BOTD	Gene	transcriptomic	BOTD
BOTE	Gene	transcriptomic	BOTE
BOTF	Gene	transcriptomic	BOTF
BOTG	Gene	transcriptomic	BOTG
C2482	Gene	transcriptomic	C2482
CHUA	Gene	transcriptomic	CHUA
CPNT	Gene	transcriptomic	CPNT
CYA	Gene	transcriptomic	CYA
DEGP	Gene	transcriptomic	DEGP
DPPA	Gene	transcriptomic	DPPA
DPPB	Gene	transcriptomic	DPPB
DPPC	Gene	transcriptomic	DPPC
DPPD	Gene	transcriptomic	DPPD
DPPF	Gene	transcriptomic	DPPF
DSBA	Gene	transcriptomic	DSBA
EFEB	Gene	transcriptomic	EFEB
EFEO	Gene	transcriptomic	EFEO
EFEU	Gene	transcriptomic	EFEU
EIS	Gene	transcriptomic	EIS
ELTA	Gene	transcriptomic	ELTA
ELTB	Gene	transcriptomic	ELTB
ENTS	Gene	transcriptomic	ENTS
ESPC	Gene	transcriptomic	ESPC
ESPP	Gene	transcriptomic	ESPP
ESXA	Gene	transcriptomic	ESXA
ESXG	Gene	transcriptomic	ESXG
ESXH	Gene	transcriptomic	ESXH
EXBB	Gene	transcriptomic	EXBB
EXBD	Gene	transcriptomic	EXBD
FECA	Gene	transcriptomic	FECA
FECB	Gene	transcriptomic	FECB
FECC	Gene	transcriptomic	FECC
FECD	Gene	transcriptomic	FECD
FECE	Gene	transcriptomic	FECE
FEOA	Gene	transcriptomic	FEOA
FEOB	Gene	transcriptomic	FEOB
FEPA	Gene	transcriptomic	FEPA
FEPB	Gene	transcriptomic	FEPB
FEPC	Gene	transcriptomic	FEPC
FEPD	Gene	transcriptomic	FEPD
FEPG	Gene	transcriptomic	FEPG
FGD1	Gene	transcriptomic	FGD1
FHUB	Gene	transcriptomic	FHUB
FHUC	Gene	transcriptomic	FHUC
FHUD	Gene	transcriptomic	FHUD
FKPA	Gene	transcriptomic	FKPA
FYUA	Gene	transcriptomic	FYUA
GGTA	Gene	transcriptomic	GGTA
GLBN	Gene	transcriptomic	GLBN
GSPC2	Gene	transcriptomic	GSPC2
GSPD2	Gene	transcriptomic	GSPD2
GSPS2	Gene	transcriptomic	GSPS2
HA17	Gene	transcriptomic	HA17
HA70	Gene	transcriptomic	HA70
HBP	Gene	transcriptomic	HBP
HLYA	Gene	transcriptomic	HLYA
HLYB	Gene	transcriptomic	HLYB
HLYD	Gene	transcriptomic	HLYD
HLYE	Gene	transcriptomic	HLYE
INLA	Gene	transcriptomic	INLA
INLB	Gene	transcriptomic	INLB
IRTA	Gene	transcriptomic	IRTA
IRTB	Gene	transcriptomic	IRTB
IUTA	Gene	transcriptomic	IUTA
KATG	Gene	transcriptomic	KATG
LEF	Gene	transcriptomic	LEF
LEPB	Gene	transcriptomic	LEPB
LPDC	Gene	transcriptomic	LPDC
LPRG	Gene	transcriptomic	LPRG
LPRM	Gene	transcriptomic	LPRM
MDTA	Gene	transcriptomic	MDTA
MDTB	Gene	transcriptomic	MDTB
MDTC	Gene	transcriptomic	MDTC
MPPA	Gene	transcriptomic	MPPA
MSRA	Gene	transcriptomic	MSRA
NDKA	Gene	transcriptomic	NDKA
NTNHA	Gene	transcriptomic	NTNHA
OPPA	Gene	transcriptomic	OPPA
OPPB	Gene	transcriptomic	OPPB
OPPC	Gene	transcriptomic	OPPC
OPPD	Gene	transcriptomic	OPPD
PAGA	Gene	transcriptomic	PAGA
PIC	Gene	transcriptomic	PIC
PSTS1	Gene	transcriptomic	PSTS1
PTPA	Gene	transcriptomic	PTPA
SAPM	Gene	transcriptomic	SAPM
SAT	Gene	transcriptomic	SAT
SECA	Gene	transcriptomic	SECA
SECA1	Gene	transcriptomic	SECA1
SECA2	Gene	transcriptomic	SECA2
SECD	Gene	transcriptomic	SECD
SECE	Gene	transcriptomic	SECE
SECF	Gene	transcriptomic	SECF
SECG	Gene	transcriptomic	SECG
SECY	Gene	transcriptomic	SECY
SKP	Gene	transcriptomic	SKP
SODB	Gene	transcriptomic	SODB
SODC	Gene	transcriptomic	SODC
STA1	Gene	transcriptomic	STA1
STA2	Gene	transcriptomic	STA2
STA3	Gene	transcriptomic	STA3
SURA	Gene	transcriptomic	SURA
TETX	Gene	transcriptomic	TETX
TIBA	Gene	transcriptomic	TIBA
TONB	Gene	transcriptomic	TONB
TPX	Gene	transcriptomic	TPX
TRX-2	Gene	transcriptomic	TRX-2
TRXA	Gene	transcriptomic	TRXA
TRXB	Gene	transcriptomic	TRXB
YBTP	Gene	transcriptomic	YBTP
YHJR	Gene	transcriptomic	YHJR
YQJH	Gene	transcriptomic	YQJH
YQJI	Gene	transcriptomic	YQJI
ZNUA	Gene	transcriptomic	ZNUA
ZNUB	Gene	transcriptomic	ZNUB
ZNUC	Gene	transcriptomic	ZNUC
REACTOME:R-HSA-73884	Pathway	pathway	Base Excision Repair
ACD	Gene	transcriptomic	ACD
ADPRS	Gene	transcriptomic	ADPRS
FEN1	Gene	transcriptomic	FEN1
H3-4	Gene	transcriptomic	H3-4
LIG1	Gene	transcriptomic	LIG1
MBD4	Gene	transcriptomic	MBD4
MPG	Gene	transcriptomic	MPG
MUTYH	Gene	transcriptomic	MUTYH
NEIL3	Gene	transcriptomic	NEIL3
NTHL1	Gene	transcriptomic	NTHL1
PARG	Gene	transcriptomic	PARG
PARP1	Gene	transcriptomic	PARP1
PARP2	Gene	transcriptomic	PARP2
PCNA	Gene	transcriptomic	PCNA
POLD1	Gene	transcriptomic	POLD1
POLD2	Gene	transcriptomic	POLD2
POLD3	Gene	transcriptomic	POLD3
POLD4	Gene	transcriptomic	POLD4
POT1	Gene	transcriptomic	POT1
RFC1	Gene	transcriptomic	RFC1
SMUG1	Gene	transcriptomic	SMUG1
TDG	Gene	transcriptomic	TDG
TERF1	Gene	transcriptomic	TERF1
TERF2	Gene	transcriptomic	TERF2
TERF2IP	Gene	transcriptomic	TERF2IP
TINF2	Gene	transcriptomic	TINF2
UNG	Gene	transcriptomic	UNG
REACTOME:R-HSA-73929	Pathway	pathway	Base-Excision Repair, AP Site Formation
REACTOME:R-HSA-210991	Pathway	pathway	Basigin interactions
ATP1B1	Gene	transcriptomic	ATP1B1
ATP1B2	Gene	transcriptomic	ATP1B2
ATP1B3	Gene	transcriptomic	ATP1B3
CAV1	Gene	transcriptomic	CAV1
PPIL2	Gene	transcriptomic	PPIL2
SLC16A3	Gene	transcriptomic	SLC16A3
SLC16A8	Gene	transcriptomic	SLC16A8
REACTOME:R-HSA-1461957	Pathway	pathway	Beta defensins
REACTOME:R-HSA-77352	Pathway	pathway	Beta oxidation of butanoyl-CoA to acetyl-CoA
ACADS	Gene	transcriptomic	ACADS
ACSM3	Gene	transcriptomic	ACSM3
ACSM6	Gene	transcriptomic	ACSM6
ECHS1	Gene	transcriptomic	ECHS1
HADH	Gene	transcriptomic	HADH
REACTOME:R-HSA-77346	Pathway	pathway	Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA
ACADM	Gene	transcriptomic	ACADM
MECR	Gene	transcriptomic	MECR
REACTOME:R-HSA-77350	Pathway	pathway	Beta oxidation of hexanoyl-CoA to butanoyl-CoA
REACTOME:R-HSA-77310	Pathway	pathway	Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA
ACADL	Gene	transcriptomic	ACADL
REACTOME:R-HSA-77285	Pathway	pathway	Beta oxidation of myristoyl-CoA to lauroyl-CoA
REACTOME:R-HSA-77348	Pathway	pathway	Beta oxidation of octanoyl-CoA to hexanoyl-CoA
REACTOME:R-HSA-77305	Pathway	pathway	Beta oxidation of palmitoyl-CoA to myristoyl-CoA
ACADVL	Gene	transcriptomic	ACADVL
REACTOME:R-HSA-3858494	Pathway	pathway	Beta-catenin independent WNT signaling
AXIN2	Gene	transcriptomic	AXIN2
DAAM1	Gene	transcriptomic	DAAM1
DVL1	Gene	transcriptomic	DVL1
DVL3	Gene	transcriptomic	DVL3
GNAO1	Gene	transcriptomic	GNAO1
GNAT2	Gene	transcriptomic	GNAT2
LEF1	Gene	transcriptomic	LEF1
MIR92B	Gene	transcriptomic	MIR92B
NLK	Gene	transcriptomic	NLK
PRKCG	Gene	transcriptomic	PRKCG
PRKG2	Gene	transcriptomic	PRKG2
RAC2	Gene	transcriptomic	RAC2
RAC3	Gene	transcriptomic	RAC3
TCF7	Gene	transcriptomic	TCF7
TCF7L1	Gene	transcriptomic	TCF7L1
TCF7L2	Gene	transcriptomic	TCF7L2
REACTOME:R-HSA-196299	Pathway	pathway	Beta-catenin phosphorylation cascade
FRAT1	Gene	transcriptomic	FRAT1
FRAT2	Gene	transcriptomic	FRAT2
REACTOME:R-HSA-9915355	Pathway	pathway	Beta-ketothiolase deficiency
REACTOME:R-HSA-389887	Pathway	pathway	Beta-oxidation of pristanoyl-CoA
ACOT8	Gene	transcriptomic	ACOT8
ACOX2	Gene	transcriptomic	ACOX2
ACOX3	Gene	transcriptomic	ACOX3
ACOXL	Gene	transcriptomic	ACOXL
AMACR	Gene	transcriptomic	AMACR
CRAT	Gene	transcriptomic	CRAT
CROT	Gene	transcriptomic	CROT
HSD17B4	Gene	transcriptomic	HSD17B4
SCP2	Gene	transcriptomic	SCP2
REACTOME:R-HSA-390247	Pathway	pathway	Beta-oxidation of very long chain fatty acids
ACAA1	Gene	transcriptomic	ACAA1
ACOT4	Gene	transcriptomic	ACOT4
ACOX1	Gene	transcriptomic	ACOX1
DECR2	Gene	transcriptomic	DECR2
ECI2	Gene	transcriptomic	ECI2
EHHADH	Gene	transcriptomic	EHHADH
MLYCD	Gene	transcriptomic	MLYCD
REACTOME:R-HSA-425381	Pathway	pathway	Bicarbonate transporters
AHCYL2	Gene	transcriptomic	AHCYL2
SLC4A1	Gene	transcriptomic	SLC4A1
SLC4A10	Gene	transcriptomic	SLC4A10
SLC4A2	Gene	transcriptomic	SLC4A2
SLC4A3	Gene	transcriptomic	SLC4A3
SLC4A4	Gene	transcriptomic	SLC4A4
SLC4A5	Gene	transcriptomic	SLC4A5
SLC4A7	Gene	transcriptomic	SLC4A7
